phi_u	d_u	x_u	y_u	phi_v	d_v	x_v	y_v	phi_f	d_f	x_f	y_f
0.514	2.035	1.816	0.919	0.280	1.876	1.803	0.519	0.262	1.933	1.867	0.501
0.519	2.033	1.731	1.066	0.280	1.876	1.803	0.519	0.263	1.935	1.868	0.503
0.527	2.042	1.710	1.117	0.278	1.887	1.815	0.519	0.262	1.945	1.879	0.504
0.530	2.038	1.773	1.005	0.278	1.887	1.815	0.519	0.261	1.940	1.874	0.501
0.527	2.026	1.774	0.978	0.278	1.887	1.815	0.519	0.261	1.931	1.866	0.498
0.521	2.030	1.756	1.019	0.278	1.888	1.815	0.519	0.261	1.936	1.870	0.500
0.517	2.028	1.765	0.999	0.278	1.888	1.815	0.519	0.261	1.934	1.868	0.499
0.514	2.035	1.779	0.987	0.278	1.888	1.815	0.519	0.261	1.938	1.872	0.500
0.512	2.033	1.815	0.914	0.278	1.888	1.815	0.519	0.260	1.934	1.869	0.498
0.510	2.032	1.832	0.879	0.278	1.888	1.815	0.519	0.261	1.943	1.877	0.501
0.509	2.023	1.767	0.983	0.278	1.888	1.815	0.519	0.261	1.929	1.864	0.498
0.508	2.020	1.728	1.045	0.278	1.888	1.815	0.519	0.261	1.928	1.863	0.498
0.514	2.015	1.666	1.133	0.278	1.888	1.815	0.519	0.262	1.928	1.862	0.499
0.524	2.029	1.696	1.114	0.278	1.888	1.815	0.519	0.262	1.936	1.870	0.501
0.529	2.044	1.808	0.952	0.278	1.888	1.815	0.519	0.262	1.933	1.867	0.500
0.529	2.044	1.808	0.952	0.278	1.888	1.815	0.519	0.261	1.943	1.877	0.501
0.529	2.031	1.787	0.965	0.278	1.888	1.815	0.519	0.261	1.934	1.869	0.499
0.528	2.029	1.794	0.947	0.278	1.888	1.815	0.519	0.261	1.932	1.867	0.498
0.534	2.013	1.717	1.051	0.278	1.888	1.815	0.519	0.262	1.925	1.859	0.498
0.542	2.022	1.632	1.192	0.278	1.888	1.815	0.519	0.262	1.933	1.867	0.501
0.547	2.020	1.600	1.232	0.278	1.888	1.815	0.519	0.263	1.933	1.867	0.502
0.547	2.026	1.636	1.194	0.278	1.888	1.815	0.519	0.262	1.936	1.870	0.502
0.552	2.034	1.670	1.161	0.278	1.888	1.815	0.519	0.262	1.940	1.874	0.503
0.557	2.031	1.653	1.178	0.278	1.888	1.815	0.519	0.262	1.938	1.872	0.503
0.567	2.027	1.673	1.145	0.278	1.888	1.815	0.519	0.262	1.936	1.870	0.502
0.575	2.034	1.748	1.040	0.278	1.888	1.815	0.519	0.261	1.938	1.872	0.501
0.584	2.031	1.740	1.047	0.278	1.888	1.815	0.519	0.261	1.935	1.869	0.500
0.584	2.031	1.740	1.047	0.278	1.888	1.815	0.519	0.261	1.936	1.870	0.500
0.583	2.035	1.734	1.065	0.278	1.888	1.815	0.519	0.261	1.939	1.873	0.501
0.577	2.040	1.749	1.050	0.278	1.888	1.815	0.519	0.261	1.942	1.876	0.502
0.570	2.032	1.703	1.108	0.278	1.888	1.815	0.519	0.262	1.938	1.872	0.502
0.565	2.030	1.667	1.157	0.278	1.888	1.815	0.519	0.262	1.937	1.871	0.502
